Authors,Author full names,Author(s) ID,Title,Year,DOI,Link,Affiliations,Authors with affiliations,Abstract,Author Keywords
Ito A.,"Ito, Akihiko (24778585500)",24778585500,Solar radiation management and ecosystem functional responses,2017,10.1007/s10584-017-1930-3,https://www.scopus.com/pages/publications/85014113840?origin=resultslist,"National Institute for Environmental Studies, 16-2 Onogawa, Tsukuba, 305-8506, Japan; Japan Agency for Marine-Earth Science and Technology, 3173-25 Showa-machi, Yokohama, 236-0001, Japan","Ito A., National Institute for Environmental Studies, 16-2 Onogawa, Tsukuba, 305-8506, Japan, Japan Agency for Marine-Earth Science and Technology, 3173-25 Showa-machi, Yokohama, 236-0001, Japan","Geoengineering such as solar radiation management (SRM) can be an emergent option to avoid devastating climatic warming, but its ramifications are barely understood. The perturbation of the Earth’s energy balance, atmospheric dynamics, and hydrological cycling may exert unexpected influences on natural and human systems. In this study, I evaluate the impacts of SRM deployment on terrestrial ecosystem functions using a process-based ecosystem model (the Vegetation Integrative Simulator for Trace gases, VISIT) driven by the climate projections by multiple climate models. In the SRM-oriented climate projections, massive injection of sulphate aerosols into the stratosphere lead to increased scattering of solar radiation and delayed anthropogenic climate warming. The VISIT simulations show that canopy light absorption and gross primary production are enhanced in subtropics in spite of the slight decrease of total incident solar radiation. The retarded temperature rise during the deployment period leads to lower respiration, and consequently, an additional net terrestrial ecosystem carbon uptake by about 20%. After the SRM termination, however, along with the temperature rise, this carbon is released rapidly to the atmosphere. As a result of altered precipitation and radiation budget, simulated runoff discharge is suppressed mainly in the tropics. These SRM-induced influences on terrestrial ecosystems occurr heterogeneously over the land surface and differed among the ecosystem functions. These responses of terrestrial functions should be taken into account when discussing the costs and benefits of geoengineering. © 2017, Springer Science+Business Media Dordrecht.",
Svoboda T.,"Svoboda, Toby (36990522500)",36990522500,The ethics of climate engineering: Solar radiation management and non-ideal justice,2017,10.4324/9781315468532,https://www.scopus.com/pages/publications/85020668866?origin=resultslist,"Fairfield University, United States","Svoboda T., Fairfield University, United States","This book analyzes major ethical issues surrounding the use of climate engineering, particularly solar radiation management (SRM) techniques, which have the potential to reduce some risks of anthropogenic climate change but also carry their own risks of harm and injustice. The book argues that we should approach the ethics of climate engineering via ""non-ideal theory,"" which investigates what justice requires given the fact that many parties have failed to comply with their duty to mitigate greenhouse gas emissions. Specifically, it argues that climate justice should be approached comparatively, evaluating the relative justice or injustice of feasible policies under conditions that are likely to hold within relevant timeframes. Likely near-future conditions include ""pessimistic scenarios,"" in which no available option avoids serious ethical problems. The book contends that certain uses of SRM can be ethically defensible in some pessimistic scenarios. This is the first book devoted to the many ethical issues surrounding climate engineering. © 2017 Taylor & Francis. All rights reserved.",
Power B.L.,"Power, Burgess Langshaw (59522275600)",59522275600,What to Consider When Considering Solar Geoengineering,2025,10.1002/9781394204847.ch7,https://www.scopus.com/pages/publications/85215547688?origin=resultslist,"Balsillie School of International Affairs, University of Waterloo, ON, Canada","Power B.L., Balsillie School of International Affairs, University of Waterloo, ON, Canada","This chapter explores a preliminary list of unique factors that a country such as Canada should consider when engaging in debate and decision-making for several types of solar geoengineering. This is, of course, but a preliminary assessment, and ideally would be complimented by a broad government led investigation with significant public participation, such as a Royal Commission. A vast amount of work has yet to be done to ensure that when decisions are made (regardless of what decision is made), they are made by an informed and effective regime. © 2025 Scrivener Publishing LLC.",carbon capture; climate action; Geoengineering; geopolitics
Smith W.,"Smith, Wake (57217401145)",57217401145,The cost of stratospheric aerosol injection through 2100,2020,10.1088/1748-9326/aba7e7,https://www.scopus.com/pages/publications/85094857391?origin=resultslist,"Yale College, New Haven, CT, United States; Mossavar-Rahmani Center for Business and Government, Harvard Kennedy School, Cambridge, MA, United States","Smith W., Yale College, New Haven, CT, United States, Mossavar-Rahmani Center for Business and Government, Harvard Kennedy School, Cambridge, MA, United States","This paper presents the estimated direct costs of a stratospheric aerosol injection (SAI) program through the end of this century. It displays a range of future solar geoengineering deployment scenarios that are intended to reduce anthropogenically-caused radiative forcing beginning in 2035. The scenarios reviewed herein include three commonly modeled representative concentration pathways (4.5, 6.0, and 8.5) and three possible radiative forcing targets (halving future warming, halting warming, and reversing temperatures to 2020 levels). The program relies on three successive generations of newly designed high-altitude tanker aircraft to deliver aerosols to an altitude of ~20 km. Sulfates are assumed to be the aerosol used in conjunction with the first generation tanker, supplanted by an as-yet-determined ‘Aerosol 2’ with the later generation aircraft. The aggregate cost over the remainder of the 21st century and the annual cost in 2100 both vary by an order of magnitude between the cheapest and the most expensive scenarios. However, the cost-per-ton of deployed aerosol varies little among scenarios and the cost-per-degree-of-warming-avoided is similarly consistent. Relative to other climate interventions and solutions, SAI remains inexpensive, but at about $18 billion yr−1 per degree Celsius of warming avoided (in 2020 USD), a solar geoengineering program with substantial climate impact would lie well beyond the financial reach of individuals, small states, or other non-state potential rogue actors and would instead be the exclusive domain of large national economies or coalitions including at least one such economy. © 2020 The Author(s). Published by IOP Publishing Ltd",Albedo modification; Deployment costs; Solar geoengineering; Solar radiation management; Stratospheric aerosol injection
Gernowo R.; Hendri; Faqih A.; Koesuma S.; Listyarini J.; Kusuma D.A.,"Gernowo, Rahmat (56433461600); Hendri (16743600600); Faqih, Ahmad (58101687300); Koesuma, Sorja (56596816400); Listyarini, Jassica (59527503100); Kusuma, Delfina Azzahra (57222574085)",56433461600; 16743600600; 58101687300; 56596816400; 59527503100; 57222574085,"Impact of solar radiation management in anomalous atmosphere in Indonesia Case Study: The extreme rainfall of surigae tropical cyclone in papua province, indonesia",2026,10.1063/5.0322419,https://www.scopus.com/pages/publications/105034749278?origin=resultslist,"Department of Physics, Diponegoro University, Semarang, Indonesia; Faculty of Forestry, University of Papua, Papua Barat, Indonesia; Department of Geophysics and Meteorology, IPB University, Bogor, Indonesia; Department of Physics, Sebelas Maret University, Surakarta, Indonesia; Disaster Research Centre, Sebelas Maret University, Surakarta, Indonesia; Department of Oceanography, Diponegoro University, Semarang, Indonesia","Gernowo R., Department of Physics, Diponegoro University, Semarang, Indonesia; Hendri, Faculty of Forestry, University of Papua, Papua Barat, Indonesia; Faqih A., Department of Geophysics and Meteorology, IPB University, Bogor, Indonesia; Koesuma S., Department of Physics, Sebelas Maret University, Surakarta, Indonesia, Disaster Research Centre, Sebelas Maret University, Surakarta, Indonesia; Listyarini J., Department of Geophysics and Meteorology, IPB University, Bogor, Indonesia; Kusuma D.A., Department of Oceanography, Diponegoro University, Semarang, Indonesia","The province of Papua is situated in the eastern part of Indonesia. This study aims to investigate the extreme rainfall due to tropical cyclones. We focus on three tropical cyclones (TC) that struck in eastern Indonesia, i.e., Surigae TC (April 2021), there has been a notable increase in the frequency of tropical cyclones and severe weather phenomena in this area. Understanding the ramifications of tropical cyclones, particularly their influence on weather patterns, including extreme rainfall, is crucial. The tropical cyclone Surigae, which made landfall on April 16 2021, considerably affected the region, particularly on Timor Island and Sumba Island. We employed the ERA5 and SRM model to analyze the atmospheric dynamics related to rainfall during these tropical cyclone events. Additionally, we applied Bias correction from GeoMIP to evaluate the rainfall data and compare the outcomes. Our analysis using Solar Radiation Management (SRM) shows that the data from both sources correlate well and indicate a decrease in rainfall over eastern Indonesia during the tropical cyclone. Potential biases in the GeoMIP approach, such as the simplification of cloud-aerosol interactions and the assumptions underlying the SRM mechanism, may contribute to underestimating precipitationThe findings indicate a strong correlation between both datasets, with a general decrease trend observed.  © 2026 Author(s).",
Harding A.; Moreno-Cruz J.B.,"Harding, Anthony (57192937322); Moreno-Cruz, Juan B. (36872459400)",57192937322; 36872459400,The economics of geoengineering,2018,10.1016/B978-0-12-814104-5.00025-9,https://www.scopus.com/pages/publications/85084249175?origin=resultslist,"School of Economics, Georgia Institute of Technology, Atlanta, GA, United States","Harding A., School of Economics, Georgia Institute of Technology, Atlanta, GA, United States; Moreno-Cruz J.B., School of Economics, Georgia Institute of Technology, Atlanta, GA, United States","Geoengineering provides an alternative strategy from abatement to counteract or mask impacts of anthropogenic climate change. Geoengineering strategies can be classified as either solar radiation management (SRM) or carbon dioxide removal (CDR). SRM strategies are cheap, quick, but imperfect. CDR strategies are expensive, slow, but perfect and can generate negative net emissions. High abatement costs and shared global benefits have created a free-rider problem, but properties of geoengineering have the potential to disrupt that impasse. Geoengineering can also introduce new problems through additional risks and uncertainties. Even if the use of geoengineering is found to be optimal, strategic decision making may produce suboptimal outcomes. Over the past decade, research has examined if geoengineering is a serious alternative and when the benefits of using it outweigh the costs. © 2019 Elsevier Inc. All rights reserved.",Carbon dioxide removal; Climate change; Climate economics; Environmental economics; Game theory; Geoengineering; Integrated assessment model; Solar radiation management; Uncertainty
Wu T.; Fan X.; Wang C.; Jia G.,"Wu, Tianbao (59002456400); Fan, Xueping (57225948104); Wang, Chao (60366049700); Jia, Guozhi (9333834200)",59002456400; 57225948104; 60366049700; 9333834200,Selectively Transparent Tannic Acid-Grafted MoS2/Cu1.95S Heterojunction Membranes with Enhanced Photothermal Conversion,2025,10.1021/acsami.5c16677,https://www.scopus.com/pages/publications/105021668864?origin=resultslist,"School of Science, Tianjin Chengjian University, Tianjin, 300384, China; Qinghai Provincial Key Laboratory of Nanomaterials and Nanotechnology, Qinghai Minzu University, Qinghai, Xining, 810007, China","Wu T., School of Science, Tianjin Chengjian University, Tianjin, 300384, China; Fan X., Qinghai Provincial Key Laboratory of Nanomaterials and Nanotechnology, Qinghai Minzu University, Qinghai, Xining, 810007, China; Wang C., School of Science, Tianjin Chengjian University, Tianjin, 300384, China; Jia G., School of Science, Tianjin Chengjian University, Tianjin, 300384, China","For effective solar radiation management, windows in sustainable buildings need to feature high visible light transmittance to support daylighting needs, block unwanted solar radiation, and maintain an appropriate photothermal performance. However, materials with a high photothermal performance usually do not exhibit favorable light transmittance. Here, the selectively transparent photothermal tannic acid-grafted Cu1.95S and MoS2heterojunction (Cu1.95S/TA-MoS2) was prepared with a mild one-pot synthesis. On the one hand, TA not only grafts both MoS2and Cu1.95S but also effectively absorbs ultraviolet light. On the other hand, the incorporation of Cu1.95S enhances near-infrared absorption. The selectively transparent photothermal membrane was fabricated by blending Cu1.95S/TA-MoS2with poly(vinyl alcohol). Compared with the TA-MoS2membrane, the Cu1.95S/TA-MoS2membrane achieved a 25.3% reduction in solar transmittance with only a 6.3% loss in luminous transmittance. Moreover, via Cu1.95S with localized surface plasmon resonance properties and a synergistic effect with MoS2, the photothermal equilibrium temperature of the Cu1.95S/TA-MoS2membrane was increased by 23.4 °C. The membrane demonstrates effective antifogging capability and generates a stable voltage of 0.14 V when integrated with thermoelectric modules. This work provides solid support for next-generation solar radiation management in building windows. © 2025 American Chemical Society",copper chalcogenides; first-principles calculation; molybdenum disulfide; photothermal material; selective transparent; tannic acid
Sugiyama M.; Asayama S.; Kosugi T.,"Sugiyama, Masahiro (34979145900); Asayama, Shinichiro (56028712900); Kosugi, Takanobu (7101990351)",34979145900; 56028712900; 7101990351,The North–South Divide on Public Perceptions of Stratospheric Aerosol Geoengineering?: A Survey in Six Asia-Pacific Countries,2020,10.1080/17524032.2019.1699137,https://www.scopus.com/pages/publications/85087572155?origin=resultslist,"Institute for Future Initiatives, The University of Tokyo, Tokyo, Japan; Faculty of Political Science and Economics, Waseda University, Tokyo, Japan; Department of Geography, University of Cambridge, Cambridge, United Kingdom; College of Policy Science, Ritsumeikan University, Osaka, Japan","Sugiyama M., Institute for Future Initiatives, The University of Tokyo, Tokyo, Japan; Asayama S., Faculty of Political Science and Economics, Waseda University, Tokyo, Japan, Department of Geography, University of Cambridge, Cambridge, United Kingdom; Kosugi T., College of Policy Science, Ritsumeikan University, Osaka, Japan","Solar radiation management (SRM) is a controversial technological proposal to deliberately cool the Earth for addressing climate change. Because of great concerns over global consequences of SRM deployment, an inclusive and global conversation is considered necessary for the governance of SRM. However, public perception research on SRM to date has been mostly limited to the Global North or Western democracy. Because social acceptability is crucial for SRM governance, such research must also encompass the Global South or Eastern perspectives beyond the Western bias. The present study conducted an online survey of college students in six Asia-Pacific countries (Australia, China, India, Japan, the Philippines, and South Korea) about their attitudes toward stratospheric aerosol geoengineering, one of most discussed SRM proposals. Our results showed that students from the Global South (China, India, the Philippines) were more willing to accept geoengineering as a potential option than those from the Global North (Australia, Japan, and South Korea). We also found an overwhelming consensus in support of geoengineering governance principles such as information disclosure and pre-deployment regulation across all six countries. Our results suggest that more nuanced and granular understandings of non-Western perspectives are critical to enable inclusive democratic debate on geoengineering governance. © 2020, © 2020 Informa UK Limited, trading as Taylor & Francis Group.",climate engineering; public engagement; Public perception; solar geoengineering; solar radiation management
Biermann F.; Oomen J.; Gupta A.; Ali S.H.; Conca K.; Hajer M.A.; Kashwan P.; Kotzé L.J.; Leach M.; Messner D.; Okereke C.; Persson Å.; Potočnik J.; Schlosberg D.; Scobie M.; VanDeveer S.D.,"Biermann, Frank (6603052684); Oomen, Jeroen (57221743599); Gupta, Aarti (55444732700); Ali, Saleem H. (11439396200); Conca, Ken (6603251664); Hajer, Maarten A. (6603469883); Kashwan, Prakash (25931682700); Kotzé, Louis J. (23469821500); Leach, Melissa (7201653088); Messner, Dirk (23467311200); Okereke, Chukwumerije (33568129300); Persson, Åsa (57193781128); Potočnik, Janez (24315112600); Schlosberg, David (6602669007); Scobie, Michelle (57044571800); VanDeveer, Stacy D. (6506267137)",6603052684; 57221743599; 55444732700; 11439396200; 6603251664; 6603469883; 25931682700; 23469821500; 7201653088; 23467311200; 33568129300; 57193781128; 24315112600; 6602669007; 57044571800; 6506267137,Solar geoengineering: The case for an international non-use agreement,2022,10.1002/wcc.754,https://www.scopus.com/pages/publications/85122922150?origin=resultslist,"Copernicus Institute of Sustainable Development, Utrecht University, Utrecht, Netherlands; Urban Futures Studio, Copernicus Institute of Sustainable Development, Utrecht University, Utrecht, Netherlands; Environmental Policy Group, Wageningen University, Wageningen, Netherlands; Department of Geography and Spatial Sciences, University of Delaware, Newark, DE, United States; Scientific and Technical Advisory Panel of the Global Environment Facility, Washington, DC, United States; School of International Service, American University, Washington, DC, United States; Urban Futures Studio, Utrecht University, Utrecht, Netherlands; Department of Political Science, University of Connecticut, Storrs, CT, United States; Faculty of Law, North-West University, Potchefstroom, South Africa; Institute of Development Studies, University of Sussex, Brighton, United Kingdom; German Environment Agency, Dessau-Roßlau, Germany; Centre for Climate Change and Development, Alex-Ekwueme Federal University Ndufu-Alike, Abakaliki, Nigeria; Stockholm Environment Institute, Stockholm, Sweden; Department of Thematic Studies—Environmental Change, Linköping University, Linköping, Sweden; International Resource Panel, United Nations Environment Programme, Paris, France; SYSTEMIQ, United Kingdom; Sydney Environment Institute, University of Sydney, Sydney, Australia; Institute of International Relations, The University of the West Indies, St. Augustine, Trinidad and Tobago; McCormack Graduate School of Policy and Global Studies, University of Massachusetts Boston, Boston, MA, United States","Biermann F., Copernicus Institute of Sustainable Development, Utrecht University, Utrecht, Netherlands; Oomen J., Urban Futures Studio, Copernicus Institute of Sustainable Development, Utrecht University, Utrecht, Netherlands; Gupta A., Environmental Policy Group, Wageningen University, Wageningen, Netherlands; Ali S.H., Department of Geography and Spatial Sciences, University of Delaware, Newark, DE, United States, Scientific and Technical Advisory Panel of the Global Environment Facility, Washington, DC, United States; Conca K., School of International Service, American University, Washington, DC, United States; Hajer M.A., Urban Futures Studio, Utrecht University, Utrecht, Netherlands; Kashwan P., Department of Political Science, University of Connecticut, Storrs, CT, United States; Kotzé L.J., Faculty of Law, North-West University, Potchefstroom, South Africa; Leach M., Institute of Development Studies, University of Sussex, Brighton, United Kingdom; Messner D., German Environment Agency, Dessau-Roßlau, Germany; Okereke C., Centre for Climate Change and Development, Alex-Ekwueme Federal University Ndufu-Alike, Abakaliki, Nigeria; Persson Å., Stockholm Environment Institute, Stockholm, Sweden, Department of Thematic Studies—Environmental Change, Linköping University, Linköping, Sweden; Potočnik J., International Resource Panel, United Nations Environment Programme, Paris, France, SYSTEMIQ, United Kingdom; Schlosberg D., Sydney Environment Institute, University of Sydney, Sydney, Australia; Scobie M., Institute of International Relations, The University of the West Indies, St. Augustine, Trinidad and Tobago; VanDeveer S.D., McCormack Graduate School of Policy and Global Studies, University of Massachusetts Boston, Boston, MA, United States","Solar geoengineering is gaining prominence in climate change debates as an issue worth studying; for some it is even a potential future policy option. We argue here against this increasing normalization of solar geoengineering as a speculative part of the climate policy portfolio. We contend, in particular, that solar geoengineering at planetary scale is not governable in a globally inclusive and just manner within the current international political system. We therefore call upon governments and the United Nations to take immediate and effective political control over the development of solar geoengineering technologies. Specifically, we advocate for an International Non-Use Agreement on Solar Geoengineering and outline the core elements of this proposal. This article is categorized under: Policy and Governance > International Policy Framework. © 2022 The Authors. WIREs Climate Change published by Wiley Periodicals LLC.",climate engineering; solar geoengineering; solar radiation management; solar radiation modification
Horton J.B.; Reynolds J.L.; Buck H.J.; Callies D.; Schäfer S.; Keith D.W.; Rayner S.,"Horton, Joshua B. (56573400300); Reynolds, Jesse L. (56246869200); Buck, Holly Jean (56442180200); Callies, Daniel (57203388263); Schäfer, Stefan (55885814200); Keith, David W. (26643036500); Rayner, Steve (56234308800)",56573400300; 56246869200; 56442180200; 57203388263; 55885814200; 26643036500; 56234308800,Solar geoengineering and democracy,2018,10.1162/glep_a_00466,https://www.scopus.com/pages/publications/85051482789?origin=resultslist,"The Harvard Kennedy School’s, Belfer Center for Science and International Affairs, United States; The Utrecht Center for Water, Oceans and Sustainability Law, Utrecht University, Netherlands; The Institute of the Environment and Sustainability, The University of California, Los Angeles, United States; San Diego State University, United States; The Institute for Advanced Sustainability Studies, Potsdam, Germany; Harvard School of Engineering and Applied Sciences, Harvard Kennedy School, United States; Oxford University, United Kingdom","Horton J.B., The Harvard Kennedy School’s, Belfer Center for Science and International Affairs, United States; Reynolds J.L., The Utrecht Center for Water, Oceans and Sustainability Law, Utrecht University, Netherlands; Buck H.J., The Institute of the Environment and Sustainability, The University of California, Los Angeles, United States; Callies D., San Diego State University, United States; Schäfer S., The Institute for Advanced Sustainability Studies, Potsdam, Germany; Keith D.W., Harvard School of Engineering and Applied Sciences, Harvard Kennedy School, United States; Rayner S., Oxford University, United Kingdom","Some scientists suggest that it might be possible to reflect a portion of incoming sunlight back into space to reduce climate change and its impacts. Others argue that such solar radiation management (SRM) geoengineering is inherently incompatible with democracy. In this article, we reject this incompatibility argument. First, we counterargue that technologies such as SRM lack innate political characteristics and predetermined social effects, and that democracy need not be deliberative to serve as a standard for governance. We then rebut each of the argument’s core claims, countering that (1) democratic institutions are sufficiently resilient to manage SRM, (2) opting out of governance decisions is not a fundamental democratic right, (3) SRM may not require an undue degree of technocracy, and (4) its implementation may not concentrate power and promote authoritarianism. Although we reject the incompatibility argument, we do not argue that SRM is necessarily, or even likely to be, democratic in practice. © 2018 by the Massachusetts Institute of Technology.",
Buck H.; Geden O.; Sugiyama M.; Corry O.,"Buck, Holly (56442180200); Geden, Oliver (22940946200); Sugiyama, Masahiro (34979145900); Corry, Olaf (42761135600)",56442180200; 22940946200; 34979145900; 42761135600,Pandemic politics—lessons for solar geoengineering,2020,10.1038/S43247-020-00018-1,https://www.scopus.com/pages/publications/85110835958?origin=resultslist,"UCLA School of Law, Los Angeles, CA, United States; UCLA Institute of the Environment and Sustainability, Los Angeles, CA, United States; German Institute for International and Security Affairs, Berlin, Germany; International Institute for Applied Systems Analysis, Laxenburg, Austria; Institute for Future Initiatives, The University of Tokyo, Tokyo, Japan; Department of Political Science, University of Copenhagen, Copenhagen, Denmark; School of Politics and International Studies, University of Leeds, Leeds, United Kingdom","Buck H., UCLA School of Law, Los Angeles, CA, United States, UCLA Institute of the Environment and Sustainability, Los Angeles, CA, United States; Geden O., German Institute for International and Security Affairs, Berlin, Germany, International Institute for Applied Systems Analysis, Laxenburg, Austria; Sugiyama M., Institute for Future Initiatives, The University of Tokyo, Tokyo, Japan; Corry O., Department of Political Science, University of Copenhagen, Copenhagen, Denmark, School of Politics and International Studies, University of Leeds, Leeds, United Kingdom","Responses to the COVID-19 emergency have exposed break-points at the interface of science, media, and policy. We summarize five lessons that should be heeded if climate change ever enters a state of emergency perceived to warrant stratospheric aerosol injection. © The Author(s) 2020.",
Moch J.M.; Mickley L.J.; Eastham S.D.; Lundgren E.W.; Shah V.; Buonocore J.J.; Pang J.Y.S.; Sadiq M.; Tai A.P.K.,"Moch, Jonathan M. (57189582578); Mickley, Loretta J. (6603779272); Eastham, Sebastian D. (46261034500); Lundgren, Elizabeth W. (56702170600); Shah, Viral (57197980087); Buonocore, Jonathan J. (35268099900); Pang, Jacky Y. S. (57215904978); Sadiq, Mehliyar (57193492324); Tai, Amos P. K. (36184294300)",57189582578; 6603779272; 46261034500; 56702170600; 57197980087; 35268099900; 57215904978; 57193492324; 36184294300,Overlooked Long-Term Atmospheric Chemical Feedbacks Alter the Impact of Solar Geoengineering: Implications for Tropospheric Oxidative Capacity,2023,10.1029/2023AV000911,https://www.scopus.com/pages/publications/85172678293?origin=resultslist,"John A. Paulson School of Engineering and Applied Sciences, Harvard University, Cambridge, MA, United States; Center for Climate, Health, and the Global Environment, T.H. Chan School of Public Health, Harvard University, Boston, MA, United States; Now at AAAS Science and Technology Policy Fellowship Program at U.S. Department of State, Washington, DC, United States; Laboratory for Aviation and the Environment, Department of Aeronautics and Astronautics, Massachusetts Institute of Technology, Cambridge, MA, United States; Now at Global Modeling and Assimilation Ofﬁce, NASA Goddard Space Flight Center, Greenbelt, MD, United States; Now at Science System and Applications, Inc, Lanham, MD, United States; Now at Boston University School of Public Health, Boston, MA, United States; Institute of Environment, Energy and Sustainability, The Chinese University of Hong Kong, Sha Tin, Hong Kong; Now at Institute of Energy and Climate Research, IEK-8: Troposphere, Forschungszentrum Jülich GmbH, Jülich, Germany; Earth System Science Programme, Faculty of Science, State Key Laboratory of Agrobiotechnology, The Chinese University of Hong Kong, Sha Tin, Hong Kong","Moch J.M., John A. Paulson School of Engineering and Applied Sciences, Harvard University, Cambridge, MA, United States, Center for Climate, Health, and the Global Environment, T.H. Chan School of Public Health, Harvard University, Boston, MA, United States, Now at AAAS Science and Technology Policy Fellowship Program at U.S. Department of State, Washington, DC, United States; Mickley L.J., John A. Paulson School of Engineering and Applied Sciences, Harvard University, Cambridge, MA, United States; Eastham S.D., Laboratory for Aviation and the Environment, Department of Aeronautics and Astronautics, Massachusetts Institute of Technology, Cambridge, MA, United States; Lundgren E.W., John A. Paulson School of Engineering and Applied Sciences, Harvard University, Cambridge, MA, United States; Shah V., John A. Paulson School of Engineering and Applied Sciences, Harvard University, Cambridge, MA, United States, Now at Global Modeling and Assimilation Ofﬁce, NASA Goddard Space Flight Center, Greenbelt, MD, United States, Now at Science System and Applications, Inc, Lanham, MD, United States; Buonocore J.J., Center for Climate, Health, and the Global Environment, T.H. Chan School of Public Health, Harvard University, Boston, MA, United States, Now at Boston University School of Public Health, Boston, MA, United States; Pang J.Y.S., Institute of Environment, Energy and Sustainability, The Chinese University of Hong Kong, Sha Tin, Hong Kong, Now at Institute of Energy and Climate Research, IEK-8: Troposphere, Forschungszentrum Jülich GmbH, Jülich, Germany; Sadiq M., Institute of Environment, Energy and Sustainability, The Chinese University of Hong Kong, Sha Tin, Hong Kong; Tai A.P.K., Institute of Environment, Energy and Sustainability, The Chinese University of Hong Kong, Sha Tin, Hong Kong, Earth System Science Programme, Faculty of Science, State Key Laboratory of Agrobiotechnology, The Chinese University of Hong Kong, Sha Tin, Hong Kong","Studies of the impacts of solar geoengineering have mostly ignored tropospheric chemistry. By decreasing the sunlight reaching Earth's surface, geoengineering may help mitigate anthropogenic climate change, but changing sunlight also alters the rates of chemical reactions throughout the troposphere. Using the GEOS-Chem atmospheric chemistry model, we show that stratospheric aerosol injection (SAI) with sulfate, a frequently studied solar geoengineering method, can perturb tropospheric composition over a span of 10 years, increasing tropospheric oxidative capacity by 9% and reducing methane lifetime. SAI decreases the overall flux of shortwave radiation into the troposphere, but increases flux at certain UV wavelengths due to stratospheric ozone depletion. These radiative changes, in turn, perturb tropospheric photochemistry, driving chemical feedbacks that can substantially influence the seasonal and spatial patterns of radiative forcing beyond what is caused by enhanced stratospheric aerosol concentrations alone. For example, chemical feedbacks decrease the radiative effectiveness of geoengineering in northern high latitude summer by 20%. Atmospheric chemical feedbacks also imply the potential for net global public health benefits associated with stratospheric ozone depletion, as the decreases in mortality resulting from SAI-induced improvements in air quality outweigh the increases in mortality due to increased UV radiation exposure. Such chemical feedbacks also lead to improved plant growth. Our results show the importance of including fuller representations of atmospheric chemistry in studies of solar geoengineering and underscore the risk of surprises from this technology that could carry unexpected consequences for Earth's climate, the biosphere, and human health. © 2023. The Authors.",atmospheric chemistry; climate; geoengineering; public health; solar radiation management; stratospheric aerosol injection
